arm,batch,layers_fused,max_abs_output_diff,params_plain,params_fused,disk_mb_plain,disk_mb_fused,resident_mb_fused,fixed_share,predicted_speedup,ms_plain,ms_fused,measured_speedup,gflops_per_s_removed,gflops_per_s_kept
cp-w32-r2,1,4,0.0,5162,5162,0.02265167236328125,0.02265167236328125,8.022651672363281,0.41506579942520044,1.7095940005171968,4.223020499921404,2.8732915088767186,1.4697501060629754,12.490756375434367,8.268860965411845
cp-w32-r2,4,4,0.0,5162,5162,0.02265167236328125,0.02265167236328125,8.022651672363281,0.15066988798594333,1.1773985001292993,6.4884375024121255,5.266708001727238,1.2319721352093596,13.799401578294514,18.044553062146743
cp-w32-r2,16,4,0.0,5162,5162,0.02265167236328125,0.02265167236328125,8.022651672363281,0.04246626222607404,1.0443496250323248,19.243604489020072,18.09510399471037,1.0634702345256173,14.679258810535451,21.007979181060488
cp-w32-r2,64,4,0.0,5162,5162,0.02265167236328125,0.02265167236328125,8.022651672363281,0.01096582371559193,1.0110874062580812,69.62056251359172,67.97418750647921,1.0242205911906719,10.240155448890313,22.36976016601981
cp-w32-r8,1,4,0.0,7490,7490,0.04041290283203125,0.04041290283203125,8.040412902832031,0.7394731523276965,3.838376002068787,3.970833495259285,2.8380204894347116,1.3991560350046,59.53016398404873,8.371626663179018
cp-w32-r8,4,4,0.0,7490,7490,0.04041290283203125,0.04041290283203125,8.040412902832031,0.41506579942520044,1.7095940005171968,6.385103493812494,5.240250000497326,1.2184730677365614,58.904081957878375,18.135659938167198
cp-w32-r8,16,4,0.0,7490,7490,0.04041290283203125,0.04041290283203125,8.040412902832031,0.15066988798594333,1.1773985001292993,18.918520479928702,17.892749994643964,1.057328833499143,65.74233219556969,21.24556415943843
cp-w32-r8,64,4,0.0,7490,7490,0.04041290283203125,0.04041290283203125,8.040412902832031,0.04246626222607404,1.0443496250323248,70.50689549942035,69.08427100279368,1.0205925962013718,47.402912124672234,22.01031073974147
cp-w32-r32,1,4,0.0,16802,16802,0.11145782470703125,0.11145782470703125,8.111457824707031,0.9190513072784744,12.353504008275149,5.2981459884904325,2.9593749932246283,1.7902922071789915,115.33672024581568,8.028333027884246
cp-w32-r32,4,4,0.0,16802,16802,0.11145782470703125,0.11145782470703125,8.111457824707031,0.7394731523276965,3.838376002068787,8.079854000243358,5.543083490920253,1.457646094178162,106.3344811872546,17.14486028501483
cp-w32-r32,16,4,0.0,16802,16802,0.11145782470703125,0.11145782470703125,8.111457824707031,0.41506579942520044,1.7095940005171968,20.575562492012978,17.849104493507184,1.1527504082626427,98.93648688071907,21.297514849458178
cp-w32-r32,64,4,0.0,16802,16802,0.11145782470703125,0.11145782470703125,8.111457824707031,0.15066988798594333,1.1773985001292993,70.6983954878524,68.35212500300258,1.0343262259183126,114.96806431389219,22.24607167565316
cp-w64-r8,1,8,0.0,43906,43906,0.20679473876953125,0.20679473876953125,64.20679473876953,0.7694299836603695,4.337077369708802,30.429188002017327,19.825562500045635,1.534846136241899,50.841019979417155,8.14848446290632
cp-w64-r8,4,8,0.0,43906,43906,0.20679473876953125,0.20679473876953125,64.20679473876953,0.45482379448334015,1.8342693424272005,40.73570849141106,29.271729013998993,1.3916399838195244,47.025479857339974,22.075674166393203
cp-w64-r8,16,8,0.0,43906,43906,0.20679473876953125,0.20679473876953125,64.20679473876953,0.1725740299791258,1.2085673356068,106.79443799017463,94.40043701033574,1.1312917754658476,43.496780166222614,27.380939006850124
cp-w64-r8,64,8,0.0,43906,43906,0.20679473876953125,0.20679473876953125,64.20679473876953,0.04955779935898981,1.0521418339017001,379.425312494277,364.82883349526674,1.0400091156698548,36.93350540473176,28.339564976116776
