arm,family,fused,params,disk_mb,resident_mb,flops_b1,fixed_share,ms_b1_t1,iqr_b1_t1,ms_per_sample_b1_t1,ms_b1_t4,iqr_b1_t4,ms_per_sample_b1_t4,ms_b16_t1,iqr_b16_t1,ms_per_sample_b16_t1,ms_b16_t4,iqr_b16_t4,ms_per_sample_b16_t4,train_step_ms
cnn-w32-r16,cnn,False,13730,0.05237579345703125,0.05237579345703125,27822080.0,0.0,0.40722898847889155,0.011248979717493057,0.40722898847889155,0.4028754774481058,0.03716701758094132,0.4028754774481058,11.657311988528818,0.03333299537189305,0.7285819992830511,10.094624987686984,0.07112498860806227,0.6309140617304365,123.0208329798188
cnn-w64-r32,cnn,False,107842,0.41138458251953125,0.41138458251953125,219744256.0,0.0,1.3687710015801713,0.007124006515368819,1.3687710015801713,1.1738750035874546,0.07537598139606416,1.1738750035874546,68.33102049131412,1.1722920171450824,4.2706887807071325,62.66600001254119,1.3350419758353382,3.9166250007838244,582.5282919977326
fno_s-w32-m8,fno_s,False,528674,2.0167312622070312,2.0167312622070312,17467392.0,0.0,1.5026875043986365,0.028207985451444983,1.5026875043986365,1.4537915121763945,0.00937501317821443,1.4537915121763945,16.153145988937467,0.5868339794687927,1.0095716243085917,15.26545851083938,0.426417012931779,0.9540911569274613,143.12408299883828
fno_s-w32-m16,fno_s,False,2101538,8.016731262207031,8.016731262207031,23758848.0,0.0,4.0539585024816915,0.17700102762319148,4.0539585024816915,4.044333501951769,0.1268330088350922,4.044333501951769,20.96233300107997,0.5879589880350977,1.310145812567498,20.33672950346954,1.758707978297025,1.2710455939668464,161.05633400729857
fno_s-w64-m16,fno_s,False,16810818,64.12818145751953,64.12818145751953,161548288.0,0.0,23.119228484574705,0.9900410077534616,23.119228484574705,22.44843750668224,0.6609569827560335,22.44843750668224,104.60260399850085,1.276958006201312,6.537662749906303,100.57460398820695,3.743916022358462,6.285912749262934,747.4548330064863
cp-w32-r2,cp,False,5162,0.02265167236328125,0.02265167236328125,40617984.0,0.41506579942520044,4.260604502633214,0.20791598944924772,4.260604502633214,4.452916502486914,0.20149900228716433,4.452916502486914,20.99402049498167,0.5493339849635959,1.3121262809363543,19.218541507143527,0.5126670002937317,1.2011588441964705,156.70054202200845
cp-w32-r2+fused,cp,True,5162,0.02265167236328125,8.022651672363281,23758848.0,0.0,2.9344379872782156,0.1417089661117643,2.9344379872782156,2.8642290126299486,0.031625007977709174,2.8642290126299486,19.597542006522417,0.2715419977903366,1.224846375407651,17.94191700173542,0.30170701211318374,1.1213698126084637,156.24262500205077
cp-w32-r8,cp,False,7490,0.04041290283203125,0.04041290283203125,91195392.0,0.7394731523276965,4.173041495960206,0.12891599908471107,4.173041495960206,4.033770499518141,0.1372499973513186,4.033770499518141,21.10310399439186,0.4837500164285302,1.3189439996494912,19.31322898599319,0.3556669980753213,1.2070768116245745,158.94354099873453
cp-w32-r8+fused,cp,True,7490,0.04041290283203125,8.040412902832031,23758848.0,0.0,2.9395210003713146,0.1366240030620247,2.9395210003713146,3.2034794858191162,0.37041600444354117,3.2034794858191162,19.76366649614647,0.3928750229533762,1.2352291560091544,17.982249497435987,0.4078329948242754,1.1238905935897492,154.6477079973556
cp-w32-r32,cp,False,16802,0.11145782470703125,0.11145782470703125,293505024.0,0.9190513072784744,5.802208499517292,0.2011669857893139,5.802208499517292,5.459937994601205,0.11325001833029091,5.459937994601205,23.34793699264992,0.749623985029757,1.45924606204062,20.777354016900063,0.4685420135501772,1.298584626056254,164.67687499243766
cp-w32-r32+fused,cp,True,16802,0.11145782470703125,8.111457824707031,23758848.0,0.0,2.930375005234964,0.16633400809951127,2.930375005234964,2.8827295172959566,0.03516700235195458,2.8827295172959566,19.832125006360002,0.23954201606102288,1.2395078128975001,18.57431250391528,1.551041001221165,1.160894531494705,168.15525002311915
cp-w64-r8,cp,False,43906,0.20679473876953125,0.20679473876953125,700647424.0,0.7694299836603695,31.810500004212372,0.9259579819627106,31.810500004212372,30.874624993884936,1.6093750018626451,30.874624993884936,115.53904150787275,1.0715830139815807,7.221190094242047,105.45939599978738,0.9115840075537562,6.591212249986711,732.9124160169158
cp-w64-r8+fused,cp,True,43906,0.20679473876953125,64.20679473876953,161548288.0,0.0,19.727895502001047,0.5100829876028001,19.727895502001047,19.4605204887921,0.4470819840207696,19.4605204887921,102.58702049031854,1.9863329944200814,6.4116887806449085,93.55687501374632,0.644667015876621,5.847304688359145,746.5998750121798
