arm,family,size,ms,flops,fixed_share,latency_exponent
cnn-w32-r16,cnn,32,0.3989795077359304,27822080.0,0.0,1.2921685179131772
cnn-w32-r16,cnn,64,0.9650415013311431,111288320.0,0.0,1.2921685179131772
cnn-w32-r16,cnn,96,1.4601244911318645,250398720.0,0.0,1.2921685179131772
cnn-w32-r16,cnn,128,2.5425420026294887,445153280.0,0.0,1.2921685179131772
cnn-w64-r32,cnn,32,1.2563335039885715,219744256.0,0.0,1.8602949130882398
cnn-w64-r32,cnn,64,2.855708487913944,878977024.0,0.0,1.8602949130882398
cnn-w64-r32,cnn,96,6.892041492392309,1977698304.0,0.0,1.8602949130882398
cnn-w64-r32,cnn,128,18.218124503619038,3515908096.0,0.0,1.8602949130882398
fno_s-w32-m8,fno_s,32,1.4972705102991313,17467392.0,0.0,1.1324179934524436
fno_s-w32-m8,fno_s,64,2.6938749942928553,68820992.0,0.0,1.1324179934524436
fno_s-w32-m8,fno_s,96,4.607604001648724,159126290.4405071,0.0,1.1324179934524436
fno_s-w32-m8,fno_s,128,7.398957997793332,289964032.0,0.0,1.1324179934524436
fno_s-w32-m16,fno_s,32,3.9671669946983457,23758848.0,0.0,0.6693688292667862
fno_s-w32-m16,fno_s,64,5.216416509938426,75112448.0,0.0,0.6693688292667862
fno_s-w32-m16,fno_s,96,7.179313004598953,165417746.4405071,0.0,0.6693688292667862
fno_s-w32-m16,fno_s,128,10.448917004396208,296255488.0,0.0,0.6693688292667862
fno_s-w64-m16,fno_s,32,22.445083493948914,161548288.0,0.0,0.5732116547034289
fno_s-w64-m16,fno_s,64,27.14570851821918,465838080.0,0.0,0.5732116547034289
fno_s-w64-m16,fno_s,96,36.67385449807625,991851593.7620285,0.0,0.5732116547034289
fno_s-w64-m16,fno_s,128,51.49691700353287,1745911808.0,0.0,0.5732116547034289
cp-w32-r2,cp,32,4.136375006055459,40617984.0,0.41506579942520044,0.6219974481111115
cp-w32-r2,cp,64,5.294937000144273,91971584.0,0.18330809655295272,0.6219974481111115
cp-w32-r2,cp,96,7.195853482699022,182276882.4405071,0.09249190448219681,0.6219974481111115
cp-w32-r2,cp,128,10.14683349058032,313114624.0,0.053843336298466854,0.6219974481111115
cp-w32-r8,cp,32,4.005666996818036,91195392.0,0.7394731523276965,0.6384881008873862
cp-w32-r8,cp,64,5.190812502405606,142548992.0,0.4730762599850583,0.6384881008873862
cp-w32-r8,cp,96,7.166541996411979,232854290.4405071,0.2896083377825054,0.6384881008873862
cp-w32-r8,cp,128,10.00374999421183,363692032.0,0.185422110100009,0.6384881008873862
cp-w32-r32,cp,32,5.087770477985032,293505024.0,0.9190513072784744,0.6385892326639738
cp-w32-r32,cp,64,6.606187496799976,344858624.0,0.7821935054754495,0.6385892326639738
cp-w32-r32,cp,96,9.118521003983915,435163922.4405071,0.6198725631646957,0.6385892326639738
cp-w32-r32,cp,128,12.701416504569352,566001664.0,0.47658194870607307,0.6385892326639738
cp-w64-r8,cp,32,30.64754199294839,700647424.0,0.7694299836603695,0.4604626151098826
cp-w64-r8,cp,64,35.954750012024306,1004937216.0,0.5364505636937223,0.4604626151098826
cp-w64-r8,cp,96,46.28893799963407,1530950729.7620285,0.3521335634908367,0.4604626151098826
cp-w64-r8,cp,128,59.242083501885645,2285010944.0,0.23592847002136721,0.4604626151098826
