cap_multiplier,kappa,max_incentive_ratio,structural_bound,welfare_loss_vs_uncapped,max_min_ratio
1.02,1.2,1.1272165056739158,1.130003775336431,0.23588696910497964,0.6701087770321268
1.02,10.0,1.130003775336431,1.130003775336431,0.23588696910497964,0.6701087770321268
1.05,1.2,1.1732610309619529,1.2254285847210515,0.2134130564315967,0.7257938250636486
1.05,10.0,1.2254285847210515,1.2254285847210515,0.2134130564315967,0.7257938250636486
1.1,1.2,1.18164360094934,1.3331967847494433,0.17595653530929173,0.7883197388951843
1.1,10.0,1.3331967847494433,1.3331967847494433,0.17595653530929173,0.7883197388951843
1.15,1.2,1.1845410453878493,1.420419858089348,0.13850001418698696,0.8389140737207366
1.15,10.0,1.420419858089348,1.420419858089348,0.13850001418698696,0.8389140737207366
1.2,1.2,1.1857155437761835,1.4986855788867652,0.10176589115705492,0.8837833931311785
1.2,10.0,1.4986855788867652,1.4986855788867652,0.10176589115705492,0.8837833931311785
1.3,1.2,1.1873116894572011,1.642745430049105,0.042050713023611894,0.9528201870279417
1.3,10.0,1.642745430049105,1.642745430049105,0.042050713023611894,0.9528201870279417
inf,1.2,1.1882614830325486,inf,0.0,0.9999999999999998
inf,10.0,6.92555346244286,inf,0.0,0.9999999999999998
