family,lambda_1,predicted_tau_c,measured_tau_c,rel_error,mean_degree,shortcut_fraction
lattice (p=0),3.999999999999999,0.25000000000000006,0.2502502504736185,0.0010010018944737185,4.0,0.0
small world (p=0.3),4.248777084423855,0.2353618418029108,0.2357872317768404,0.0018073871731757536,4.0,0.25
trade network (p=1),4.582209173410448,0.21823534503897812,0.21879989993828056,0.0025869086384774204,4.0,0.78125
scale free (BA m=2),4.509374343439926,0.22176025404827251,0.22247879553944347,0.003240172564983367,3.5,0.7142857142857143
