alpha,region,epsilon,closed_form_ratio,leximin_capped_ratio,network_ratio,welfare_loss_network,welfare_loss_honest_network
0.5,0,0.05,1.0314564102877875,1.0156565895328207,1.0283308029174805,3.631420843643648e-05,1.8666757989670678e-05
0.5,1,0.05,1.0314523548462848,1.014883801344896,1.028007984161377,3.3633691121155024e-05,1.8666757989670678e-05
0.5,2,0.05,1.0315699087320236,1.024139387129952,1.0279428958892822,3.43581985040118e-05,1.8666757989670678e-05
0.5,3,0.05,1.0313924821164029,1.019900657873316,1.0286442041397095,3.5511783838182084e-05,1.8666757989670678e-05
0.5,4,0.05,1.0313525227021463,1.0154804612675694,1.0279285907745361,3.571494956363264e-05,1.8666757989670678e-05
0.5,5,0.05,1.031199216086562,1.016334507643544,1.02699875831604,3.381828502798442e-05,1.8666757989670678e-05
0.5,6,0.05,1.031049415402533,1.0217358543691204,1.0271010398864746,3.4177317489433e-05,1.8666757989670678e-05
0.5,7,0.05,1.0314105249933507,1.0176255689906553,1.0280425548553467,3.289614062908664e-05,1.8666757989670678e-05
0.5,8,0.05,1.0316696750080376,1.0170115264826198,1.0277531147003174,3.476080181674668e-05,1.8666757989670678e-05
0.5,9,0.05,1.0305804596140313,1.0228232873354457,1.0269407033920288,3.457457248068514e-05,1.8666757989670678e-05
0.5,10,0.05,1.0310991275621255,1.0154469761412406,1.026747465133667,3.455939915322781e-05,1.8666757989670678e-05
0.5,11,0.05,1.0305788433386636,1.0189648591546179,1.027343988418579,3.504155750413875e-05,1.8666757989670678e-05
0.5,12,0.05,1.030722717375471,1.0215823320059765,1.0282464027404785,3.709403969053438e-05,1.8666757989670678e-05
0.5,13,0.05,1.0308643307982241,1.0235714566033574,1.0275931358337402,3.651054060452904e-05,1.8666757989670678e-05
0.5,14,0.05,1.0306756026773733,1.0204410074054127,1.0274862051010132,3.716103375118237e-05,1.8666757989670678e-05
0.5,15,0.05,1.0308539218020936,1.015712437861156,1.028578758239746,3.7069268212501505e-05,1.8666757989670678e-05
2.0,0,0.05,1.016175366369673,1.0156565895328207,1.0145204067230225,4.004025849142431e-05,2.235465703211755e-05
2.0,1,0.05,1.0161697854152503,1.014883801344896,1.0143344402313232,4.145351748051449e-05,2.235465703211755e-05
2.0,2,0.05,1.016238741463001,1.024139387129952,1.0141937732696533,3.945651226411936e-05,2.235465703211755e-05
2.0,3,0.05,1.0161465845901998,1.019900657873316,1.0145506858825684,4.130660678177203e-05,2.235465703211755e-05
2.0,4,0.05,1.0161220722794093,1.0154804612675694,1.0144305229187012,3.805434152695259e-05,2.235465703211755e-05
2.0,5,0.05,1.0160536486251208,1.016334507643544,1.013898253440857,4.1816810643981704e-05,2.235465703211755e-05
2.0,6,0.05,1.0159849573950996,1.0217358543691204,1.0138869285583496,4.09227842978711e-05,2.235465703211755e-05
2.0,7,0.05,1.0161558284535896,1.0176255689906553,1.0144729614257812,4.211884127932296e-05,2.235465703211755e-05
2.0,8,0.05,1.0162858871598457,1.0170115264826198,1.0142250061035156,4.0334891598120363e-05,2.235465703211755e-05
2.0,9,0.05,1.0157535965268645,1.0228232873354457,1.013889193534851,4.072010242855018e-05,2.235465703211755e-05
2.0,10,0.05,1.016001016791815,1.0154469761412406,1.0137890577316284,4.0415405306469185e-05,2.235465703211755e-05
2.0,11,0.05,1.0157507924717883,1.0189648591546179,1.0141823291778564,4.013832595955915e-05,2.235465703211755e-05
2.0,12,0.05,1.0158230525892447,1.0215823320059765,1.0144946575164795,4.063394145400936e-05,2.235465703211755e-05
2.0,13,0.05,1.0158943075120315,1.0235714566033574,1.0141005516052246,4.041066305630371e-05,2.235465703211755e-05
2.0,14,0.05,1.0157970762559332,1.0204410074054127,1.014141321182251,3.851706607962274e-05,2.235465703211755e-05
2.0,15,0.05,1.0158802489757925,1.015712437861156,1.0148258209228516,4.2218951145275505e-05,2.235465703211755e-05
8.0,0,0.05,1.0284593813569245,1.0156565895328207,1.0253403186798096,0.0005289956864355733,0.0003293511667093532
8.0,1,0.05,1.0284494613178032,1.014883801344896,1.0250234603881836,0.0005428357579178693,0.0003293511667093532
8.0,2,0.05,1.0285766949701918,1.024139387129952,1.0246491432189941,0.0005154427919292024,0.0003293511667093532
8.0,3,0.05,1.0284173930140077,1.019900657873316,1.025315523147583,0.000549723817716014,0.0003293511667093532
8.0,4,0.05,1.0283779997135192,1.0154804612675694,1.0251319408416748,0.0005068519507364748,0.0003293511667093532
8.0,5,0.05,1.0282569382898272,1.016334507643544,1.024205207824707,0.0005489616845123927,0.0003293511667093532
8.0,6,0.05,1.0281464258802044,1.0217358543691204,1.0241329669952393,0.0005424155975573292,0.0003293511667093532
8.0,7,0.05,1.028437299710941,1.0176255689906553,1.0251048803329468,0.000543205696889878,0.0003293511667093532
8.0,8,0.05,1.02865594530852,1.0170115264826198,1.0248013734817505,0.0005388312289036443,0.0003293511667093532
8.0,9,0.05,1.0277534202468164,1.0228232873354457,1.0241981744766235,0.0005440448712026799,0.0003293511667093532
8.0,10,0.05,1.0281616714228443,1.0154469761412406,1.0240416526794434,0.0005370919383835895,0.0003293511667093532
8.0,11,0.05,1.0277440803283844,1.0189648591546179,1.0247077941894531,0.0005246826782594246,0.0003293511667093532
