batch,threads,n_arms,spearman_params_latency,spearman_flops_latency,spearman_disk_latency
1,1,9,0.06666666666666667,0.6166666666666667,0.06666666666666667
1,4,9,0.16666666666666666,0.5666666666666667,0.16666666666666666
16,1,9,0.21666666666666667,0.8833333333333333,0.21666666666666667
16,4,9,0.43333333333333335,0.8,0.43333333333333335
