seed,scenario,diffusion,omega,risk_max,risk_weighted,onestep_vrmse,rollout_error,rollout_growth
0,train_regime,0.4,0.6,0.0010633752065162996,-0.04340248543940845,0.016127608716487885,0.10083435475826263,0.08244999109529974
0,D0.05_w0.15,0.05,0.15,-0.0021292969246639944,-0.06507173156279536,0.14686378836631775,1.1448124647140503,0.11904124101184596
0,D0.05_w0.3,0.05,0.3,-0.003393550719613084,-0.06624735374139937,0.12312307953834534,0.9224117398262024,0.1230691256849013
0,D0.05_w0.6,0.05,0.6,-0.0017861886198502178,-0.06504682558217709,0.10034826397895813,0.5228996872901917,0.11131338080953034
0,D0.05_w1.2,0.05,1.2,-0.0005726109743317158,-0.06414646688796184,0.17523063719272614,1.3031960725784302,0.11171990805018238
0,D0.1_w0.15,0.1,0.15,1.015358244927016e-06,-0.05813362682670932,0.13499093055725098,1.1669726371765137,0.12229876507263936
0,D0.1_w0.3,0.1,0.3,-0.0010521441959423588,-0.05909714855745129,0.10804328322410583,0.9249043464660645,0.126384135006657
0,D0.1_w0.6,0.1,0.6,0.0014322192705929586,-0.05707040939871756,0.08014871180057526,0.4822945296764374,0.11256068657168872
0,D0.1_w1.2,0.1,1.2,0.0015375616338071522,-0.05726347645815657,0.1656685769557953,1.3383060693740845,0.11481736158708693
0,D0.4_w0.15,0.4,0.15,0.0003683720813376082,-0.043520147917813154,0.11356036365032196,1.468836784362793,0.14545824351803066
0,D0.4_w0.3,0.4,0.3,0.00043476118363877924,-0.04348885662504665,0.07660707086324692,1.0660622119903564,0.15049576086889482
0,D0.4_w1.2,0.4,1.2,0.0030132016766988875,-0.04170908904914865,0.15069448947906494,1.7424299716949463,0.13710522955783747
0,D1.2_w0.15,1.2,0.15,0.00020774545772249712,-0.034988384077331416,0.19694647192955017,16.70578956604004,0.23200701163089496
0,D1.2_w0.3,1.2,0.3,-0.0011373895950203927,-0.03644186175607815,0.17644408345222473,16.166276931762695,0.23655559084013966
0,D1.2_w0.6,1.2,0.6,-0.0028817681998537814,-0.03876251837662708,0.15816792845726013,15.45257568359375,0.2372122002563793
0,D1.2_w1.2,1.2,1.2,0.0019308419469783442,-0.034094910390547524,0.22295783460140228,17.132837295532227,0.22531863894396673
0,D1.6_w0.15,1.6,0.15,0.00025847810859398426,-0.033679629382115286,0.25898125767707825,104.02313232421875,0.2848685110102409
0,D1.6_w0.3,1.6,0.3,-0.0014501021543607566,-0.03550902064288178,0.24328173696994781,103.47811889648438,0.28857502332888624
0,D1.6_w0.6,1.6,0.6,-0.0035274469715834956,-0.038164099177700445,0.22996176779270172,102.79806518554688,0.28919440379997163
0,D1.6_w1.2,1.6,1.2,0.001827840508030936,-0.03292109420998419,0.27996131777763367,104.46664428710938,0.2794270029142323
1,train_regime,0.4,0.6,0.0005400742363479664,-0.043794971573373566,0.015688428655266762,0.0883433148264885,0.07729939269014979
1,D0.05_w0.15,0.05,0.15,-0.001444057908823422,-0.06441707049186898,0.14749115705490112,1.1400874853134155,0.11750621695751899
1,D0.05_w0.3,0.05,0.3,-0.003137418540966688,-0.0663112618940167,0.1234901025891304,0.9190294146537781,0.12134510305240885
1,D0.05_w0.6,0.05,0.6,-0.0018776713967660968,-0.06516113613217196,0.10010799765586853,0.5267223119735718,0.11446046238203365
1,D0.05_w1.2,0.05,1.2,-0.003377675681191906,-0.0661762928396053,0.17434847354888916,1.2994776964187622,0.11280515101161172
1,D0.1_w0.15,0.1,0.15,0.000313813332252286,-0.057974864559474426,0.13538455963134766,1.161865472793579,0.12066691072287887
1,D0.1_w0.3,0.1,0.3,-0.0006486773010041683,-0.059198154627784196,0.1081828773021698,0.9211413860321045,0.12450218844674522
1,D0.1_w0.6,0.1,0.6,0.00020575177246431279,-0.05834945512544973,0.07996640354394913,0.486240953207016,0.1161475188880602
1,D0.1_w1.2,0.1,1.2,-0.0013644742868821262,-0.05947117962611497,0.16526111960411072,1.334364652633667,0.11593108637233938
1,D0.4_w0.15,0.4,0.15,0.00019055792182841625,-0.04397429156075271,0.11412017792463303,1.4596360921859741,0.1432672495093613
1,D0.4_w0.3,0.4,0.3,6.2781219883988574e-06,-0.04434851017709033,0.07709982991218567,1.0576562881469727,0.14742275965513893
1,D0.4_w1.2,0.4,1.2,0.00012689914473937484,-0.043694096176739035,0.15026962757110596,1.7358566522598267,0.13827026237685403
1,D1.2_w0.15,1.2,0.15,0.0017606332331629583,-0.033496850788307074,0.19810426235198975,16.52951431274414,0.2303477476883908
1,D1.2_w0.3,1.2,0.3,0.0009318432907975541,-0.03441865458617358,0.1773299276828766,15.989968299865723,0.23463431969401113
