arm,family,size,batch,analytic_total,analytic_counter_convention,counted,rel_error,fft_share,fixed_share
cnn-w32-r16,cnn,32,1,27822080.0,27525120.0,27525120.0,0.0,0.0,0.0
cnn-w64-r32,cnn,32,1,219744256.0,218628096.0,218628096.0,0.0,0.0,0.0
fno_s-w32-m8,fno_s,32,1,17467392.0,9175040.0,9175040.0,0.0,0.3751905264392074,0.0
fno_s-w32-m16,fno_s,32,1,23758848.0,10747904.0,10747904.0,0.0,0.2758382898026032,0.0
fno_s-w64-m16,fno_s,32,1,161548288.0,84410368.0,84410368.0,0.0,0.16226974810157072,0.0
cp-w32-r2,cp,32,1,40617984.0,14962688.0,14942208.0,0.001368738023542294,0.1613472495336056,0.41506579942520044
cp-w32-r8,cp,32,1,91195392.0,27607040.0,27525120.0,0.002967359050445104,0.0718632801095915,0.7394731523276965
cp-w32-r32,cp,32,1,293505024.0,78184448.0,77856768.0,0.004191114836546521,0.02232874896206206,0.9190513072784744
cp-w64-r8,cp,32,1,700647424.0,219185152.0,218628096.0,0.00254148602182688,0.03741453847120688,0.7694299836603695
