family,scenario,field,segment,window,bin,freq_rel_nyquist,period_steps,period_time_units,share,cumulative_share,ar1_null_share
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,40,0.8,2.525,4.032508325,0.004294117124329417,0.9618403066732708,0.004086662741658938
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,41,0.82,2.4634146341463414,3.934154463414634,0.00411103786107768,0.9659513445343485,0.004008445833851795
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,42,0.84,2.4047619047619047,3.840484119047619,0.003664157890621582,0.9696155024249701,0.0039397245675812575
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,43,0.86,2.3488372093023258,3.751170534883721,0.004183205840595581,0.9737987082655656,0.0038799329267425937
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,44,0.88,2.2954545454545454,3.665916659090909,0.00402276523852679,0.9778214735040924,0.003828589378905844
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,45,0.9,2.2444444444444445,3.584451844444444,0.003865349786915081,0.9816868232910075,0.0037852885667432716
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,46,0.92,2.1956521739130435,3.5065289782608695,0.0037536313985009773,0.9854404546895085,0.0037496944862149112
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,47,0.94,2.148936170212766,3.431921978723404,0.0038205314619310414,0.9892609861514394,0.003721534954578036
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,48,0.96,2.1041666666666665,3.3604236041666664,0.0037672824560316806,0.9930282686074712,0.0037005972125578905
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,49,0.98,2.061224489795918,3.291843530612245,0.0036292484861753286,0.9966575170936465,0.0036867245396493185
Turbulent radiative layer 2D,tcool_0.03,density,full,boxcar,50,1.0,2.02,3.22600666,0.003342482906353499,1.0,0.0036798137911148087
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,1,0.02,101.0,161.300333,0.16625367148924278,0.16625367148924278,0.10590652802603848
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,2,0.04,50.5,80.6501665,0.08920351865970085,0.25545719014894364,0.09864376431844264
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,3,0.06,33.666666666666664,53.76677766666666,0.06984827714365675,0.3253054672926004,0.08854913177003532
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,4,0.08,25.25,40.32508325,0.11110816343105093,0.4364136307236513,0.0774902501700977
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,5,0.1,20.2,32.2600666,0.09827191756125617,0.5346855482849074,0.06681676244281885
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,6,0.12,16.833333333333332,26.88338883333333,0.0397599623045943,0.5744455105895018,0.05724244198480762
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,7,0.14,14.428571428571429,23.042904714285715,0.02501265087800809,0.5994581614675099,0.049007794668127665
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,8,0.16,12.625,20.162541625,0.02399659411046513,0.623454755577975,0.0420857098042358
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,9,0.18,11.222222222222221,17.922259222222223,0.030869688454363848,0.6543244440323388,0.03633071112149454
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,10,0.2,10.1,16.1300333,0.032627507260762675,0.6869519512931016,0.031563644849755594
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,11,0.22,9.181818181818182,14.663666636363637,0.021119606889310933,0.7080715581824124,0.02761192064589576
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,12,0.24,8.416666666666666,13.441694416666666,0.01402757662743378,0.7220991348098462,0.024324952859875553
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,13,0.26,7.769230769230769,12.407717923076923,0.01605065842062242,0.7381497932304686,0.021577530458453877
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,14,0.28,7.214285714285714,11.521452357142858,0.019047307021959968,0.7571971002524286,0.019268058926019977
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,15,0.3,6.733333333333333,10.753355533333332,0.014594292520898305,0.7717913927733269,0.017315078804061936
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,16,0.32,6.3125,10.0812708125,0.013140463482523247,0.7849318562558502,0.01565357793675684
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,17,0.34,5.9411764705882355,9.48825488235294,0.01183238343967457,0.7967642396955248,0.014231688187516352
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,18,0.36,5.611111111111111,8.961129611111112,0.012337535869836163,0.809101775565361,0.013007933745296626
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,19,0.38,5.315789473684211,8.489491210526316,0.012612999157662917,0.8217147747230239,0.011949020728366372
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,20,0.4,5.05,8.06501665,0.009921910719984517,0.8316366854430084,0.011028094773539124
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,21,0.42,4.809523809523809,7.680968238095238,0.009061590315723074,0.8406982757587315,0.010223380250484155
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,22,0.44,4.590909090909091,7.331833318181818,0.00823819655974807,0.8489364723184795,0.009517121433556274
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,23,0.46,4.391304347826087,7.013057956521739,0.008674569703278963,0.8576110420217583,0.008894758829507604
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,24,0.48,4.208333333333333,6.720847208333333,0.00920365146618179,0.8668146934879402,0.008344287203096398
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,25,0.5,4.04,6.45201332,0.008351545875402813,0.8751662393633429,0.007855753568177155
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,26,0.52,3.8846153846153846,6.203858961538462,0.007261777876317096,0.88242801723966,0.007420862994040249
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,27,0.54,3.740740740740741,5.974086407407407,0.0068117348112798634,0.8892397520509399,0.007032667620641136
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,28,0.56,3.607142857142857,5.760726178571429,0.0061834523106861295,0.895423204361626,0.00668532009618789
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,29,0.58,3.4827586206896552,5.562080448275862,0.00597473931617411,0.9013979436778002,0.006373877091481216
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,30,0.6,3.3666666666666667,5.376677766666666,0.006070531849396753,0.907468475527197,0.006094141915992701
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,31,0.62,3.2580645161290325,5.203236548387097,0.005639187365488191,0.9131076628926852,0.005842537814140398
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,32,0.64,3.15625,5.04063540625,0.005228310930208,0.9183359738228932,0.005616005455486864
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,33,0.66,3.0606060606060606,4.887888878787878,0.005242837581237775,0.9235788114041309,0.005411919602171548
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,34,0.68,2.9705882352941178,4.74412744117647,0.005214400707797975,0.9287932121119289,0.005228021056174315
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,35,0.7,2.8857142857142857,4.6085809428571425,0.004843560956431012,0.9336367730683599,0.005062360844626364
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,36,0.72,2.8055555555555554,4.480564805555556,0.004323573791514022,0.9379603468598738,0.004913254258168765
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,37,0.74,2.72972972972973,4.3594684594594595,0.0042612525313722345,0.9422215993912461,0.004779242863776785
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,38,0.76,2.6578947368421053,4.244745605263158,0.004119630128975794,0.9463412295202219,0.004659063005789834
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,39,0.78,2.58974358974359,4.135905974358974,0.004809021257441386,0.9511502507776632,0.004551619614309054
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,40,0.8,2.525,4.032508325,0.005083631145495029,0.9562338819231583,0.004455964379100737
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,41,0.82,2.4634146341463414,3.934154463414634,0.004650737176368728,0.960884619099527,0.004371277535111134
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,42,0.84,2.4047619047619047,3.840484119047619,0.0047483739742583304,0.9656329930737854,0.00429685265435575
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,43,0.86,2.3488372093023258,3.751170534883721,0.00492503718876555,0.9705580302625509,0.00423208395719952
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,44,0.88,2.2954545454545454,3.665916659090909,0.004452666525398104,0.9750106967879489,0.004176455750706703
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,45,0.9,2.2444444444444445,3.584451844444444,0.004171994500974689,0.9791826912889237,0.004129533678051541
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,46,0.92,2.1956521739130435,3.5065289782608695,0.004288958549100135,0.9834716498380238,0.0040909575249995205
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,47,0.94,2.148936170212766,3.431921978723404,0.004351442331032234,0.9878230921690561,0.004060435380356505
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,48,0.96,2.1041666666666665,3.3604236041666664,0.004291505850455139,0.9921145980195112,0.004037738989526272
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,49,0.98,2.061224489795918,3.291843530612245,0.004074105641733514,0.9961887036612448,0.0040227001758935035
Turbulent radiative layer 2D,tcool_0.03,density,full,hann,50,1.0,2.02,3.22600666,0.003811296338755067,0.9999999999999999,0.00401520823525362
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,1,0.03333333333333333,60.0,95.82198,0.2318661654565758,0.2318661654565758,0.17316751257227425
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,2,0.06666666666666667,30.0,47.91099,0.17417808057478762,0.40604424603136346,0.1455138768260014
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,3,0.1,20.0,31.940659999999998,0.12766131204377612,0.5337055580751395,0.11510259513204703
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,4,0.13333333333333333,15.0,23.955495,0.06227150385606807,0.5959770619312077,0.0892699658087996
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,5,0.16666666666666666,12.0,19.164396,0.041454995221299196,0.6374320571525068,0.06950779632121831
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,6,0.2,10.0,15.970329999999999,0.058578708509154906,0.6960107656616619,0.05492180229383835
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,7,0.23333333333333334,8.571428571428571,13.688854285714285,0.026343851706575303,0.7223546173682371,0.044203575339029744
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,8,0.26666666666666666,7.5,11.9777475,0.024263480394524282,0.7466180977627614,0.03625394944371518
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,9,0.3,6.666666666666667,10.646886666666667,0.029642784057932293,0.7762608818206937,0.030270789256810298
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,10,0.3333333333333333,6.0,9.582198,0.02064285081179737,0.796903732632491,0.025694582135360126
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,11,0.36666666666666664,5.454545454545454,8.711089090909091,0.018637169250796917,0.815540901883288,0.022138868123661438
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,12,0.4,5.0,7.985164999999999,0.017438029853183913,0.832978931736472,0.01933532300917102
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,13,0.43333333333333335,4.615384615384615,7.3709215384615385,0.01581801973642964,0.8487969514729016,0.017095443994769546
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,14,0.4666666666666667,4.285714285714286,6.844427142857143,0.016519119029742436,0.865316070502644,0.015284889572147081
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,15,0.5,4.0,6.388132,0.014556049119058329,0.8798721196217023,0.01380646806747704
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,16,0.5333333333333333,3.75,5.98887375,0.011603502513750351,0.8914756221354527,0.012588822030786427
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,17,0.5666666666666667,3.5294117647058822,5.63658705882353,0.00927152447213244,0.9007471466075851,0.011578828463873786
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,18,0.6,3.3333333333333335,5.3234433333333335,0.011120948248006373,0.9118680948555916,0.01073643054791549
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,19,0.6333333333333333,3.1578947368421053,5.043262105263158,0.009414561284973007,0.9212826561405646,0.01003107497841475
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,20,0.6666666666666666,3.0,4.791099,0.008479009722781714,0.9297616658633463,0.009439222397471372
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,21,0.7,2.857142857142857,4.562951428571428,0.008406983509266176,0.9381686493726125,0.008942584734727315
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,22,0.7333333333333333,2.727272727272727,4.355544545454546,0.008068376877967185,0.9462370262505796,0.008526861923516208
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,23,0.7666666666666667,2.608695652173913,4.166173043478261,0.007707912252266905,0.9539449385028466,0.008180826636297513
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,24,0.8,2.5,3.9925824999999997,0.008121638315952855,0.9620665768187994,0.00789565512939546
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,25,0.8333333333333334,2.4,3.8328792,0.007101575684276459,0.9691681525030759,0.007664434789455588
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,26,0.8666666666666667,2.3076923076923075,3.6854607692307693,0.006997944647904864,0.9761660971509807,0.007481800635782511
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,27,0.9,2.2222222222222223,3.548962222222222,0.006622641294864616,0.9827887384458452,0.007343667689176351
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,28,0.9333333333333333,2.142857142857143,3.4222135714285713,0.007024455032692993,0.9898131934785382,0.007247036206245478
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,29,0.9666666666666667,2.0689655172413794,3.3042062068965516,0.006613100932665034,0.9964262944112032,0.0071898538689998915
Turbulent radiative layer 2D,tcool_0.03,density,train,boxcar,30,1.0,2.0,3.194066,0.003573705588796984,1.0000000000000002,0.003585462071621524
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,1,0.03333333333333333,60.0,95.82198,0.1524374876555849,0.1524374876555849,0.15915307438079104
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,2,0.06666666666666667,30.0,47.91099,0.09980561221858554,0.25224309987417043,0.13719524461978286
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,3,0.1,20.0,31.940659999999998,0.1343802391240581,0.38662333899822854,0.11169846283566938
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,4,0.13333333333333333,15.0,23.955495,0.0899131541675477,0.47653649316577623,0.08883829331594142
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,5,0.16666666666666666,12.0,19.164396,0.06904891333218975,0.545585406497966,0.07054753548380234
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,6,0.2,10.0,15.970329999999999,0.08299730522484254,0.6285827117228087,0.056573894807703015
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,7,0.23333333333333334,8.571428571428571,13.688854285714285,0.05235705163967661,0.6809397633624852,0.04603729348617084
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,8,0.26666666666666666,7.5,11.9777475,0.0320509931636553,0.7129907565261405,0.038070459215672287
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,9,0.3,6.666666666666667,10.646886666666667,0.036738681530995194,0.7497294380571357,0.03198680579193784
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,10,0.3333333333333333,6.0,9.582198,0.028737050233391653,0.7784664882905273,0.027282003132844183
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,11,0.36666666666666664,5.454545454545454,8.711089090909091,0.0215347772392178,0.8000012655297452,0.023594952310211154
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,12,0.4,5.0,7.985164999999999,0.019814363552625565,0.8198156290823706,0.02066825661824496
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,13,0.43333333333333335,4.615384615384615,7.3709215384615385,0.01716828816464771,0.8369839172470184,0.018317456644942703
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,14,0.4666666666666667,4.285714285714286,6.844427142857143,0.01651117430808208,0.8534950915551005,0.016409048034841976
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,15,0.5,4.0,6.388132,0.016434995679685687,0.8699300872347862,0.01484525805649993
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,16,0.5333333333333333,3.75,5.98887375,0.013618406344255138,0.8835484935790413,0.013553594171384697
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,17,0.5666666666666667,3.5294117647058822,5.63658705882353,0.010869917366704365,0.8944184109457456,0.012479654584726274
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,18,0.6,3.3333333333333335,5.3234433333333335,0.012985341331822477,0.907403752277568,0.011582146674105795
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,19,0.6333333333333333,3.1578947368421053,5.043262105263158,0.01105558887527898,0.9184593411528471,0.010829401248322585
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,20,0.6666666666666666,3.0,4.791099,0.008789008252456793,0.9272483494053039,0.010196906878138167
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,21,0.7,2.857142857142857,4.562951428571428,0.008849103908661485,0.9360974533139653,0.009665546518261849
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,22,0.7333333333333333,2.727272727272727,4.355544545454546,0.008528318051248452,0.9446257713652139,0.009220323069038205
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,23,0.7666666666666667,2.608695652173913,4.166173043478261,0.008421758499990493,0.9530475298652044,0.008849429505852394
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,24,0.8,2.5,3.9925824999999997,0.008400332489295916,0.9614478623545003,0.008543564996374124
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,25,0.8333333333333334,2.4,3.8328792,0.007394590139902323,0.9688424524944025,0.008295429081107279
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,26,0.8666666666666667,2.3076923076923075,3.6854607692307693,0.007290832056671993,0.9761332845510745,0.008099346735745822
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,27,0.9,2.2222222222222223,3.548962222222222,0.00710546504635476,0.9832387495974292,0.007950991350365474
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,28,0.9333333333333333,2.142857142857143,3.4222135714285713,0.006849112556635728,0.9900878621540649,0.007847182555509022
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,29,0.9666666666666667,2.0689655172413794,3.3042062068965516,0.006413974771981888,0.9965018369260468,0.007785742848703115
Turbulent radiative layer 2D,tcool_0.03,density,train,hann,30,1.0,2.0,3.194066,0.0034981630739532106,1.0,0.003882701047309009
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,1,0.02,101.0,161.300333,0.29244631728048415,0.29244631728048415,0.07912183745110436
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,2,0.04,50.5,80.6501665,0.0348355281641504,0.3272818454446345,0.07604261262423802
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,3,0.06,33.666666666666664,53.76677766666666,0.05443468085827745,0.381716526302912,0.07142195497203781
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,4,0.08,25.25,40.32508325,0.04166337306015341,0.42337989936306536,0.06584244592684659
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,5,0.1,20.2,32.2600666,0.02901407015913169,0.4523939695221971,0.05986104927813129
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,6,0.12,16.833333333333332,26.88338883333333,0.03233599910217388,0.484729968624371,0.05391366478613358
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,7,0.14,14.428571428571429,23.042904714285715,0.030150892623704108,0.5148808612480751,0.04828794928761932
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,8,0.16,12.625,20.162541625,0.01878795652473329,0.5336688177728084,0.04314105672763319
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,9,0.18,11.222222222222221,17.922259222222223,0.022528441303836143,0.5561972590766445,0.03853469691644713
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,10,0.2,10.1,16.1300333,0.0386064825737122,0.5948037416503568,0.03446971815246357
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,11,0.22,9.181818181818182,14.663666636363637,0.024436457547833194,0.61924019919819,0.03091292100401888
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,12,0.24,8.416666666666666,13.441694416666666,0.010992549345093434,0.6302327485432834,0.027815166543015506
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,13,0.26,7.769230769230769,12.407717923076923,0.011111718954268929,0.6413444674975523,0.025122432278721192
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,14,0.28,7.214285714285714,11.521452357142858,0.042404749693397234,0.6837492171909495,0.022781956895386535
Turbulent radiative layer 2D,tcool_0.03,pressure,full,boxcar,15,0.3,6.733333333333333,10.753355533333332,0.027857380500403817,0.7116065976913534,0.02074527131747191
