seed,ky,kx,radius,pole_margin,exact_margin,error_growth,final_error
0,-6,0,6.0,-0.1751948075534669,-0.13879131189031926,0.11804664573248692,0.3599102199077606
0,-5,0,5.0,-0.10907423587563721,-0.09638285547938827,0.13124596634331862,0.21323193609714508
0,-5,1,5.0990195135927845,-0.17529266998516024,-0.10023816969856372,0.11882330998778343,0.637866199016571
0,-5,2,5.385164807134504,-0.17525063827153717,-0.11180411235609042,0.12507559963885473,0.6038299202919006
0,-5,3,5.830951894845301,-0.17519571436426865,-0.13108068345196808,0.13533194512128827,0.4430537819862366
0,-4,0,4.0,-0.061879060316878697,-0.06168502750680854,0.09203926780644583,0.10305129736661911
0,-4,1,4.123105625617661,-0.06986914989720537,-0.06554034172598407,0.09604508631369629,0.05622067302465439
0,-4,2,4.47213595499958,-0.08141184555297426,-0.07710628438351075,0.06973236588870768,0.08369886875152588
0,-4,3,5.0,-0.0995409165763287,-0.09638285547938827,0.11863237233722906,0.06708110868930817
0,-4,4,5.656854249492381,-0.12531827963709063,-0.12337005501361714,0.13514587773996226,0.08874870836734772
0,-3,0,3.0,-0.038336361221473915,-0.03469782797257986,0.06637806611902561,0.05430576577782631
0,-3,1,3.1622776601683795,-0.043233739703359815,-0.038553142191755325,0.07119378202101749,0.04711315408349037
0,-3,2,3.605551275463989,-0.05361305551359996,-0.05011908484928189,0.09934938269502983,0.09941360354423523
0,-3,3,4.242640687119285,-0.07323933752504198,-0.0693956559451595,0.08557401579969061,0.03349944204092026
0,-3,4,5.0,-0.10037911969364251,-0.09638285547938827,0.12000326759674962,0.07303079962730408
0,-3,5,5.830951894845301,-0.13417866861949315,-0.13108068345196808,0.08632572188096874,0.0758552998304367
0,-2,0,2.0,-0.019856692208464678,-0.015421256876702224,0.052859204656937483,0.04465986415743828
0,-2,1,2.23606797749979,-0.023755150188634666,-0.019276571095877625,0.06055152942152578,0.06934454292058945
0,-2,2,2.8284271247461903,-0.03464805322879626,-0.030842513753404247,0.08167429040460018,0.06599614024162292
0,-2,3,3.605551275463989,-0.05366936928021631,-0.05011908484928189,0.11435844267115858,0.05198534578084946
