regime,k,n_time,order,oscillatory_share,transient_share,dominant_period,fit_sigma,envelope_sigma,sigma_reliable
bubbles,4,501,24,0.0,0.311195159622238,nan,-0.016377906673218662,-0.0011026773854640386,False
gliders,5,501,24,0.0,1.0,nan,-0.39381897827850854,0.0009881152902719967,False
maze,5,501,24,0.0,0.8887138064073775,nan,-0.03362976509871059,0.00010267210744296447,False
spirals,1,501,24,0.0,1.0,nan,-0.08898960902441726,0.0005297777242499011,False
spots,6,501,24,0.0,0.8699716493068035,nan,-0.030760464720946134,0.00018038017635267132,False
worms,2,501,24,0.0,0.49848703244481707,nan,-0.003960625258197509,-0.000953024845964442,True
