ky,kx,radius,rel_norm_diff,analytic_lead_magnitude,empirical_lead_magnitude,log_magnitude_gap,arm
5,3,5.830951894845301,0.43037011621076654,0.49916340049596747,0.9063195433807675,-0.596458442695039,lambda
-4,0,4.0,0.43033201263779974,0.49922707212687273,0.9064402156087339,-0.5964640306217601,lambda
-4,1,4.123105625617661,0.43033351007062787,0.49906750039654163,0.906632183939475,-0.5969954795400545,lambda
-4,2,4.47213595499958,0.430356818658145,0.499140444561391,0.9067668665438084,-0.5969978709078622,lambda
-4,3,5.0,0.4304456785711091,0.4992105776468433,0.906901180360408,-0.5970054859586879,lambda
-4,4,5.656854249492381,0.43039716648612103,0.49914861279594863,0.9066985248568633,-0.5969061350684499,lambda
-3,0,3.0,0.43026046744595475,0.4987792310090318,0.9058540438921229,-0.596714618582178,lambda
-3,1,3.1622776601683795,0.430281235145474,0.4988217861501646,0.9055322769760854,-0.5962740321840031,lambda
-3,2,3.605551275463989,0.43030606460235343,0.4989768206341812,0.905887085392845,-0.5963550254291169,lambda
-3,3,4.242640687119285,0.43037948795138065,0.49920869847837845,0.9066682018340393,-0.5967523220799054,lambda
-3,4,5.0,0.43038757560469293,0.4991551583239007,0.9065335928101601,-0.5967111012689179,lambda
-3,5,5.830951894845301,0.43039809117178185,0.49912337754325775,0.9066621415844371,-0.5969165649338968,lambda
-2,0,2.0,0.43028989888797686,0.49874763267570016,0.906609397065451,-0.5976114819476782,lambda
-2,1,2.23606797749979,0.43004509863443496,0.4985320086456216,0.9045067884334218,-0.5957220127235682,lambda
-2,2,2.8284271247461903,0.42997426790629684,0.498505879268368,0.9034419726764293,-0.594596499679007,lambda
-2,3,3.605551275463989,0.43023506109047865,0.49892692798551425,0.9045991065491167,-0.5950322212423569,lambda
-2,4,4.47213595499958,0.4303656492608164,0.49919354008792843,0.9066148615040109,-0.5967238544999471,lambda
-2,5,5.385164807134504,0.43037618328213273,0.499125357753634,0.9064877474570686,-0.5967202316400972,lambda
-1,0,1.0,0.43039777827321635,0.49954524391575633,0.9090809997717971,-0.5987360264708266,lambda
-1,1,1.4142135623730951,0.4303013297694217,0.49897384428988845,0.9080354997788374,-0.5987297963847563,lambda
-1,2,2.23606797749979,0.43008823226451753,0.4986511628112024,0.9038756831347442,-0.5947850535156196,lambda
-1,3,3.1622776601683795,0.43022245821902866,0.49886332223895097,0.9032498460516633,-0.5936670446851037,lambda
-1,4,4.123105625617661,0.4303969996188825,0.499166531892005,0.9064369386632586,-0.596581690720208,lambda
-1,5,5.0990195135927845,0.4303963741784915,0.49917505608247786,0.9066091366950295,-0.5967545684108704,lambda
